"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Légkondicionáló","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 118 000 € "," 80 880 € "," 69 540 € "," 144 330 € "," 80 370 € "," 97 150 € "," 73 880 € "," 76 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 229 000 € "," 144 900 € "," 363 430 € "," 103 640 € "," 250 000 € "," 208 000 € "," 141 440 € "," 77 480 € "," 81 330 € "," 222 290 € "," 83 050 € "
"177","33 m²"," 1 ","21,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","10 felett","több mint 10","van","nincs megadva","távfűtés","nincs megadva","nincs megadva","dél","panorámás","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,"5 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","34 m²"," 1 ",NA,"felújított","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","nincs megadva","udvari","nem","nincs megadva","utca, közterület - ingyenes","1950-1980 között","nincs","9 500 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,8 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","66 m²"," 1 + 2 fél ","57,9 millió Ft","újszerű","összkomfortos","CC","földszint","4","van","3 m-nél alacsonyabb","gáz (cirko)","igen","külön helyiségben","délkelet","kertre néző","igen","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van","21 140 Ft/hó","16 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","83 m²"," 3 ","58,4 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön és egyben is","kelet","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","nincs",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","59 m²"," 2 + 1 fél ","35 millió Ft","jó állapotú","összkomfortos","nincs megadva","6","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","külön helyiségben","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület - ingyenes","1950-1980 között",NA,"30 000 Ft/hó","8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","33 m²"," 1 ","22,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","van","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","kelet","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","nincs","6 900 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","94 m²"," 3 ","69,9 millió Ft","újszerű","nincs megadva","nincs megadva","3","3","nincs","nincs megadva","gáz (cirko)","nincs megadva","egy helyiségben","nincs megadva","panorámás","nincs megadva","nincs megadva","udvari beálló - benne van az árban","2001-2010 között","van",NA,"17 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","72 m²"," 3 ","73 millió Ft","újszerű","duplakomfortos","CC","5","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön és egyben is","délnyugat","kertre néző","nincs megadva","nem tetőtéri","teremgarázs hely - megvásárolható","2018","van",NA,"9 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","167 m²"," 4 + 2 fél ","135 millió Ft","felújított","duplakomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","gáz (cirko), elektromos","nem","külön és egyben is","nincs megadva","kertre néző","igen","tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","57 m²"," 2 + 1 fél ","39,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","egy helyiségben","nincs megadva","kertre néző","nem","nem tetőtéri","utca, közterület","1981-2000 között",NA,"10 600 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","40 m²"," 2 ","32,99 millió Ft","újszerű","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","egyéb","nem","egy helyiségben","délnyugat","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","47 m²"," 1 + 1 fél ","38,5 millió Ft","felújított","nincs megadva","nincs megadva","1","2","nincs","nincs megadva","gáz (cirko)","nem","külön helyiségben","nincs megadva","nincs megadva","nem","nem tetőtéri","nincs megadva","1981-2000 között","van","15 000 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","100 m²"," 3 + 1 fél ","78,9 millió Ft","jó állapotú","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","nincs megadva","északkelet","kertre néző","nem","nem tetőtéri","önálló garázs - benne van az árban","1981-2000 között","van",NA,"13 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","71 m²"," 3 ","86 millió Ft","felújított","összkomfortos","nincs megadva","5","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","külön helyiségben","nincs megadva","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"28 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","74 m²"," 2 + 1 fél ","59,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön és egyben is","délnyugat","kertre néző","nem","nem tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között",NA,NA,"11 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","76 m²"," 3 ","54,9 millió Ft","felújított","luxus","nincs megadva","2","2","nincs megadva","nincs megadva","hőszivattyú","nincs megadva","nincs megadva","dél","panorámás","nincs megadva","nincs megadva","nincs megadva",NA,"van",NA,"13 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","50 m²"," 2 ","46,5 millió Ft","újszerű","összkomfortos","AA++","5","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön és egyben is","délkelet","utcai","nincs megadva","nem tetőtéri","nincs megadva","2001-2010 között",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","32 m²"," 1 ","22 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m vagy magasabb","gáz (konvektor)","nincs megadva","külön helyiségben","északnyugat","udvari","nincs megadva","nem tetőtéri","utca, közterület",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","51 m²"," 1 + 2 fél ","45 millió Ft","újszerű","összkomfortos","CC","1","4","van","3 m-nél alacsonyabb","gáz (cirko)","igen","egy helyiségben","északkelet","udvari","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"14 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","49 m²"," 2 ","51 millió Ft","újszerű","nincs megadva","nincs megadva","4","6","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","udvari","nem","nincs megadva","teremgarázs hely - megvásárolható","2016","van","15 000 Ft/hó","7 m²","4.5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","65 m²"," 2 + 1 fél ","52 millió Ft","újszerű","nincs megadva","nincs megadva","1","3","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","39 m²"," 1 + 1 fél ","34 millió Ft","felújított","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél alacsonyabb","elektromos","nincs megadva","külön helyiségben","dél","kertre néző","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","78 m²"," 3 + 1 fél ",NA,"újszerű","összkomfortos","AA","3","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","külön helyiségben","délnyugat","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van","26 300 Ft/hó","15 m²","2.9 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66,7 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","46 m²"," 1 + 1 fél ","25,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","egy helyiségben","nyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","174 m²"," 3 ","173 millió Ft","újszerű","luxus","nincs megadva","3","3","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","udvari","nincs megadva","nincs megadva","teremgarázs hely - benne van az árban","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","71 m²"," 3 ","78,5 millió Ft","újszerű","duplakomfortos","nincs megadva","9","9","van","3 m-nél alacsonyabb","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","panorámás","nincs megadva","zárószint","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"21 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","75 m²"," 2 + 1 fél ","66 millió Ft","felújított","nincs megadva","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","dél","udvari","nem","tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között","van","35 000 Ft/hó","7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","37 m²"," 1 + 1 fél ","28,9 millió Ft","felújított","nincs megadva","nincs megadva","félemelet","4","nincs","3 m-nél alacsonyabb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","1950-1980 között","van","12 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","57 m²"," 2 + 1 fél ","37,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","elektromos","nem","egy helyiségben","délkelet","kertre néző","nem","legfelső emelet, nem tetőtéri","udvari beálló","1950-1980 között","van",NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","55 m²"," 2 ","33,9 millió Ft","felújított","nincs megadva","nincs megadva","10 felett","több mint 10","van","3 m-nél alacsonyabb","távfűtés","nincs megadva","egy helyiségben","kelet","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","nincs","30 Ft/hó",NA,NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","41 m²"," 1 + 1 fél ","46,5 millió Ft","felújított","összkomfortos","nincs megadva","1","5","van","3 m-nél alacsonyabb","nincs megadva","nincs megadva","külön helyiségben","dél","kertre néző","nincs megadva","nincs megadva","nincs megadva","1950-1980 között","van",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","43 m²"," 1 ","29,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","2","nincs","nincs megadva","gáz (konvektor)","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","utca, közterület",NA,NA,"12 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","68 m²"," 2 + 1 fél ","33,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","utca, közterület","1950-1980 között","nincs",NA,"3 m²",NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","68 m²"," 2 ","82 millió Ft","újszerű","luxus","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön és egyben is","délnyugat","panorámás","nem","penthouse","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"56 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","70 m²"," 3 ","44,9 millió Ft","felújított","duplakomfortos","nincs megadva","földszint","3","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","külön és egyben is","nincs megadva","kertre néző","nincs megadva","nem tetőtéri","utca, közterület",NA,"van","20 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","52 m²"," 2 ","38 millió Ft","felújított","nincs megadva","nincs megadva","2","3","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","délnyugat","kertre néző","nincs megadva","nem tetőtéri","udvari beálló","1950-1980 között",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","115 m²"," 3 ","115 millió Ft","felújított","luxus","nincs megadva","3","3","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön és egyben is","nincs megadva","panorámás","nincs megadva","nem tetőtéri","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","53 m²"," 2 ","39,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","egy helyiségben","nincs megadva","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet",NA,"nincs","20 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","76 m²"," 3 ","57,9 millió Ft","felújított","nincs megadva","nincs megadva","4","4","van","nincs megadva","gáz (cirko)","igen","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA,"14 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","88 m²"," 2 + 2 fél ","69,9 millió Ft","újszerű","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","nincs megadva","délnyugat","panorámás","nincs megadva","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között",NA,NA,"18 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","52 m²"," 2 ","35,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","7","van","nincs megadva","házközponti","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva","1981-2000 között","nincs",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","49 m²"," 2 ","39,5 millió Ft","újszerű","összkomfortos","nincs megadva","4","7","van","nincs megadva","házközponti egyedi méréssel","igen","külön helyiségben","dél","nincs megadva","nincs megadva","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között","van",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","45 m²"," 2 ","39,9 millió Ft","újszerű","összkomfortos","AA","8","8","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön helyiségben","dél","panorámás","nem","legfelső emelet, nem tetőtéri","nincs megadva","2012","van","35 000 Ft/hó","15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","52 m²"," 2 ","29,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (konvektor), hőszivattyú","nincs megadva","külön helyiségben","kelet","kertre néző","nincs megadva","legfelső emelet, nem tetőtéri","nincs megadva","1950-1980 között","van","14 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","59 m²"," 1 + 3 fél ","37,9 millió Ft","felújított","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","egy helyiségben","nincs megadva","utcai","igen","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","49 m²"," 1 + 1 fél ","34,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön helyiségben","délnyugat","nincs megadva","nem","nem tetőtéri","utca, közterület","1950-1980 között","nincs","40 000 Ft/hó","2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","74 m²"," 3 ","64,9 millió Ft","újszerű","összkomfortos","CC","2","3","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön helyiségben","délnyugat","utcai","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"8 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","49 m²"," 2 ","38,9 millió Ft","újszerű","összkomfortos","CC","4","4","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön helyiségben","délnyugat","kertre néző","nincs megadva","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","van","30 000 Ft/hó","4 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","47 m²"," 1 + 1 fél ","31 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","nincs megadva","nem","egy helyiségben","nincs megadva","udvari","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","nincs","28 500 Ft/hó","2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","55 m²"," 1 + 1 fél ","36,5 millió Ft","jó állapotú","összkomfortos","FF","félemelet","3","nincs megadva","nincs megadva","elektromos","nincs megadva","egy helyiségben","délkelet","nincs megadva","nem","nincs megadva","utca, közterület","1950 előtt","van",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","97 m²"," 5 ","78,9 millió Ft","újszerű","duplakomfortos","CC","2","2","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön és egyben is","délnyugat","panorámás","nem","nincs megadva","teremgarázs hely - kötelező megvenni","2001-2010 között","van",NA,"4 m²","4.5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","49 m²"," 2 ","31,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","6","10","nincs megadva","nincs megadva","távfűtés","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","34 m²"," 1 ","22,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","45 m²"," 1 + 1 fél ","39,9 millió Ft","újszerű","összkomfortos","AA+","5","5","van","3 m vagy magasabb","házközponti egyedi méréssel, házközponti","igen","egy helyiségben","északnyugat","kertre néző","nem","tetőtéri","utca, közterület - ingyenes","2001-2010 között","van","10 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","46 m²"," 1 + 1 fél ","30,9 millió Ft","újszerű","összkomfortos","nincs megadva","1","4","van","nincs megadva","házközponti egyedi méréssel, gáz (cirko)","nincs megadva","egy helyiségben","nincs megadva","utcai","nem","nem tetőtéri","utca, közterület","2001-2010 között","nincs","14 500 Ft/hó","3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","51 m²"," 2 ","41,9 millió Ft","felújított","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délkelet","udvari","igen","nem tetőtéri","utca, közterület","2001-2010 között",NA,"12 500 Ft/hó","2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","40 m²"," 1 + 1 fél ","31,5 millió Ft","felújított","komfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","egy helyiségben","délnyugat","kertre néző","nincs megadva",NA,"utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","52 m²"," 2 ","34,9 millió Ft","felújított","nincs megadva","nincs megadva","2","2","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","utca, közterület",NA,"van",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","53 m²"," 2 ","35 millió Ft","jó állapotú","komfortos","nincs megadva","félemelet","5","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","nincs megadva","utcai","igen","nem tetőtéri","udvari beálló","1950-1980 között","nincs","38 000 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","102 m²"," 3 ",NA,"újszerű","összkomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön és egyben is","nincs megadva","kertre néző","igen","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
